IdSource,IdTarget,Weight,Type
frod,sams,158,undirected
goll,sams,101,undirected
frod,goll,99,undirected
merr,pipp,51,undirected
gimli,lego,50,undirected
ganda,saru,49,undirected
ganda,theod,46,undirected
fara,frod,41,undirected
isen,saru,41,undirected
arag,ganda,38,undirected
ents,treeb,38,undirected
ganda,isen,35,undirected
arag,lego,34,undirected
arag,orcs,30,undirected
arag,gimli,28,undirected
pipp,orcs,27,undirected
ganda,treeb,26,undirected
merr,treeb,25,undirected
orth,saru,25,undirected
fara,sams,24,undirected
ganda,lego,23,undirected
ganda,orth,23,undirected
ganda,pipp,23,undirected
pipp,treeb,23,undirected
ganda,gimli,22,undirected
arag,eome,21,undirected
boro,frod,21,undirected
ganda,sfax,21,undirected
arag,saru,20,undirected
frod,mord,20,undirected
isen,orcs,19,undirected
arag,roha,18,undirected
boro,fara,18,undirected
fara,gond,18,undirected
frod,orcs,18,undirected
gimli,treeb,18,undirected
merr,orcs,18,undirected
saru,treeb,18,undirected
arag,boro,17,undirected
arag,frod,17,undirected
roha,saru,17,undirected
isen,treeb,16,undirected
lego,orcs,16,undirected
arag,pipp,15,undirected
arag,treeb,15,undirected
ents,pipp,15,undirected
ganda,grim,15,undirected
ganda,merr,15,undirected
isen,roha,15,undirected
lego,treeb,15,undirected
sams,orcs,15,undirected
saru,theod,15,undirected
ents,isen,14,undirected
eome,ganda,14,undirected
fara,goll,14,undirected
goll,mord,14,undirected
saru,orcs,14,undirected
arag,theod,13,undirected
boro,orcs,13,undirected
eome,theod,13,undirected
frod,ring,13,undirected
ganda,roha,13,undirected
goll,orcs,13,undirected
isen,merr,13,undirected
isen,orth,13,undirected
pipp,saru,13,undirected
treeb,orcs,13,undirected
arag,isen,12,undirected
ents,merr,12,undirected
frod,ganda,12,undirected
ganda,mord,12,undirected
isen,pipp,12,undirected
merr,saru,12,undirected
mord,sams,12,undirected
arag,merr,11,undirected
comp,frod,11,undirected
ents,saru,11,undirected
eome,saru,11,undirected
frod,gond,11,undirected
ganda,saur,11,undirected
gimli,saru,11,undirected
grim,saru,11,undirected
mord,saur,11,undirected
roha,treeb,11,undirected
saru,saur,11,undirected
arag,elen,10,undirected
boro,comp,10,undirected
frod,morg,10,undirected
frod,saur,10,undirected
isen,mord,10,undirected
mord,orcs,10,undirected
ring,sams,10,undirected
roha,theod,10,undirected
saur,orcs,10,undirected
arag,arat,9,undirected
arag,gond,9,undirected
arag,saur,9,undirected
arag,tiri,9,undirected
boro,ganda,9,undirected
boro,gond,9,undirected
boro,sams,9,undirected
elve,treeb,9,undirected
ents,ganda,9,undirected
frod,shir,9,undirected
ganda,orcs,9,undirected
ganda,ring,9,undirected
ganda,sams,9,undirected
gimli,gloi,9,undirected
gimli,orcs,9,undirected
merr,roha,9,undirected
andu,gond,8,undirected
boro,dene,8,undirected
boro,ring,8,undirected
boro,tiri,8,undirected
eome,orcs,8,undirected
fara,ganda,8,undirected
goll,saur,8,undirected
gond,saur,8,undirected
roha,orcs,8,undirected
sfax,theod,8,undirected
arag,comp,7,undirected
arag,mord,7,undirected
arag,orth,7,undirected
arag,sams,7,undirected
arag,sfax,7,undirected
edor,ganda,7,undirected
elve,frod,7,undirected
elve,sams,7,undirected
eome,gimli,7,undirected
eome,grim,7,undirected
eome,lego,7,undirected
eorl,theod,7,undirected
ganda,mori,7,undirected
gond,saru,7,undirected
gond,tiri,7,undirected
grim,theod,7,undirected
isen,saur,7,undirected
isen,theod,7,undirected
